"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 27, 2021","39.9036","43.8922","44.8518","38.1385","11.04M","-9.00%"
"Oct 26, 2021","43.8489","42.8007","46.9184","42.8007","8.63M","2.48%"
"Oct 25, 2021","42.7888","41.4050","43.7570","41.2320","4.68M","3.32%"
"Oct 24, 2021","41.4129","43.1063","43.5433","39.9432","4.72M","-3.97%"
"Oct 23, 2021","43.1246","43.7230","44.0443","41.5408","5.23M","-1.37%"
"Oct 22, 2021","43.7230","40.9258","45.5045","40.9067","11.93M","6.86%"
"Oct 21, 2021","40.9151","42.5960","43.6295","39.1625","10.15M","-3.93%"
"Oct 20, 2021","42.5903","37.7394","43.9576","37.6982","10.04M","12.89%"
"Oct 19, 2021","37.7260","35.8062","38.3477","35.5858","4.52M","5.36%"
"Oct 18, 2021","35.8062","36.1380","37.3393","35.3326","3.93M","-0.92%"
"Oct 17, 2021","36.1380","36.5909","37.3455","35.0078","3.87M","-1.24%"
"Oct 16, 2021","36.5909","37.0204","38.4076","36.3097","3.77M","-1.16%"
"Oct 15, 2021","37.0204","37.1467","37.9851","35.7227","6.29M","-0.36%"
"Oct 14, 2021","37.1544","36.5850","39.7318","36.1596","7.77M","1.54%"
"Oct 13, 2021","36.5927","37.5759","38.9000","35.2408","7.81M","-2.61%"
"Oct 12, 2021","37.5736","39.1721","39.1721","35.3032","8.83M","-4.10%"
"Oct 11, 2021","39.1804","39.2587","40.7276","37.5193","6.82M","-0.20%"
"Oct 10, 2021","39.2587","42.4800","43.2129","39.0701","5.21M","-7.58%"
"Oct 09, 2021","42.4800","43.2623","44.4036","42.1158","4.20M","-1.79%"
"Oct 08, 2021","43.2536","46.4945","48.4752","43.0929","8.10M","-6.97%"
"Oct 07, 2021","46.4945","42.0389","47.3769","40.9163","9.68M","10.58%"
"Oct 06, 2021","42.0445","44.6991","44.8033","40.4158","8.98M","-5.94%"
"Oct 05, 2021","44.6991","46.8011","47.2394","43.5611","8.22M","-4.47%"
"Oct 04, 2021","46.7901","42.7679","49.4883","41.5696","16.34M","9.41%"
"Oct 03, 2021","42.7662","41.4988","46.0932","41.4988","13.89M","3.10%"
"Oct 02, 2021","41.4799","37.7616","43.5224","37.1133","11.04M","9.85%"
"Oct 01, 2021","37.7616","38.9037","39.9291","36.5389","10.23M","-2.95%"
"Sep 30, 2021","38.9100","34.1421","38.9157","33.8522","8.97M","13.95%"
"Sep 29, 2021","34.1466","33.1706","36.3178","33.0536","9.69M","3.04%"
"Sep 28, 2021","33.1406","36.7791","37.1903","33.0106","10.16M","-9.89%"
"Sep 27, 2021","36.7779","34.6974","39.6184","33.8703","14.02M","6.00%"
"Sep 26, 2021","34.6965","37.8781","37.8987","33.3613","13.63M","-8.42%"
"Sep 25, 2021","37.8853","40.1551","40.7512","36.1641","14.79M","-5.67%"
"Sep 24, 2021","40.1619","36.1616","41.2137","32.5478","27.78M","11.02%"
"Sep 23, 2021","36.1760","33.2028","36.7892","32.5690","14.65M","8.95%"
"Sep 22, 2021","33.2028","25.0713","33.5742","25.0713","15.12M","32.43%"
"Sep 21, 2021","25.0713","27.5073","29.3882","23.9772","18.31M","-8.59%"
"Sep 20, 2021","27.4263","32.9412","32.9555","26.3028","19.95M","-16.74%"
"Sep 19, 2021","32.9410","34.7720","36.4216","32.0920","9.86M","-5.27%"
"Sep 18, 2021","34.7720","34.4348","36.3182","34.1060","6.87M","0.98%"
"Sep 17, 2021","34.4348","37.4479","39.1903","34.0942","9.78M","-8.05%"
"Sep 16, 2021","37.4479","36.7507","39.7483","35.2184","13.02M","1.87%"
"Sep 15, 2021","36.7604","35.6649","37.5933","34.9276","8.10M","3.08%"
"Sep 14, 2021","35.6631","37.2105","37.8854","34.6460","8.95M","-4.16%"
