"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 21, 2019","225.41","228.18","229.65","217.29","440.72K","-1.22%"
"Jul 20, 2019","228.20","220.81","234.82","220.02","453.40K","3.37%"
"Jul 19, 2019","220.76","225.74","226.16","213.70","470.03K","-2.20%"
"Jul 18, 2019","225.74","210.85","229.09","206.13","543.46K","7.08%"
"Jul 17, 2019","210.80","199.00","219.31","192.14","644.15K","5.97%"
"Jul 16, 2019","198.93","228.24","234.46","193.05","664.85K","-12.84%"
"Jul 15, 2019","228.25","225.53","235.51","202.99","839.33K","0.95%"
"Jul 14, 2019","226.10","268.89","269.63","223.46","597.75K","-15.92%"
"Jul 13, 2019","268.89","274.53","275.05","262.39","485.35K","-2.07%"
"Jul 12, 2019","274.58","268.62","278.61","266.46","464.47K","2.27%"
"Jul 11, 2019","268.48","289.08","289.08","262.21","599.25K","-7.12%"
"Jul 10, 2019","289.07","307.28","314.36","280.88","503.20K","-5.97%"
"Jul 09, 2019","307.41","312.01","317.85","303.02","378.11K","-1.49%"
"Jul 08, 2019","312.07","304.71","313.63","301.21","346.28K","2.41%"
"Jul 07, 2019","304.71","288.17","309.67","284.51","374.98K","5.74%"
"Jul 06, 2019","288.17","287.40","296.47","285.33","366.10K","0.21%"
"Jul 05, 2019","287.56","282.64","294.36","281.25","438.11K","1.51%"
"Jul 04, 2019","283.28","301.24","303.00","280.56","366.01K","-5.97%"
"Jul 03, 2019","301.26","291.62","302.62","289.48","492.52K","3.32%"
"Jul 02, 2019","291.58","294.94","297.50","272.89","608.60K","-1.21%"
"Jul 01, 2019","295.15","292.73","303.36","280.39","605.30K","1.11%"
"Jun 30, 2019","291.91","317.77","323.49","289.56","592.58K","-8.14%"
"Jun 29, 2019","317.77","311.14","324.49","295.63","507.95K","2.03%"
"Jun 28, 2019","311.43","298.77","313.45","295.60","652.48K","4.23%"
"Jun 27, 2019","298.80","339.69","346.67","280.18","713.98K","-12.04%"
"Jun 26, 2019","339.69","318.13","366.16","316.01","554.93K","6.78%"
"Jun 25, 2019","318.13","311.77","318.89","307.91","396.91K","2.05%"
"Jun 24, 2019","311.75","308.65","314.19","297.71","401.46K","1.01%"
"Jun 23, 2019","308.65","310.92","321.48","306.01","185.56K","-0.68%"
