Date,Price,Open,High,Low,Vol.,Change %
7-May-20,0.9986,0.999,0.9995,0.9984,39.09M,-0.04%
8-May-20,0.9991,0.9986,0.9992,0.9984,39.38M,0.05%
9-May-20,1,0.9991,1,0.9991,35.45M,0.09%
10-May-20,0.9996,1,1.002,0.9988,66.51M,-0.04%
11-May-20,0.9994,0.9996,0.9998,0.9987,36.41M,-0.02%
12-May-20,0.9993,0.9994,1,0.9992,23.86M,-0.01%
13-May-20,0.999,0.9993,0.9998,0.9987,21.92M,-0.03%
14-May-20,0.9997,0.999,1,0.9988,35.57M,0.07%
15-May-20,1.001,0.9997,1.002,0.9996,31.36M,0.13%
16-May-20,1,1.001,1.001,1,25.75M,-0.10%
17-May-20,1,1,1.001,0.9997,29.43M,0.00%
18-May-20,1.001,1,1.002,1,43.01M,0.10%
19-May-20,1,1.001,1.001,1,47.44M,-0.10%
20-May-20,1.001,1,1.001,1,58.01M,0.10%
21-May-20,1.001,1.001,1.002,1,69.24M,0.00%
22-May-20,1,1.001,1.002,0.9999,34.16M,-0.10%
23-May-20,1,1,1,0.9996,22.17M,0.00%
24-May-20,1.001,1,1.001,0.9994,29.93M,0.10%
25-May-20,1,1.001,1.001,0.9999,24.94M,-0.10%
26-May-20,1,1,1.001,1,25.22M,0.00%
27-May-20,1,1,1.001,0.9997,29.64M,0.00%
28-May-20,0.9996,1,1,0.9993,35.55M,-0.04%
29-May-20,1,0.9996,1.001,0.9996,33.62M,0.04%
30-May-20,1,1,1.001,0.9996,32.58M,0.00%
31-May-20,1.001,1,1.001,0.9997,33.15M,0.10%
1-Jun-20,0.9989,1.001,1.001,0.9972,40.95M,-0.21%
2-Jun-20,1,0.9989,1.002,0.9985,80.81M,0.11%
3-Jun-20,1,1,1.001,0.9997,33.14M,0.00%
4-Jun-20,0.9997,1,1.001,0.9993,35.16M,-0.03%
5-Jun-20,1,0.9997,1.001,0.9997,26.84M,0.03%
6-Jun-20,1,1,1.001,1,21.52M,0.00%
7-Jun-20,0.9996,1,1.001,0.9991,28.08M,-0.04%
8-Jun-20,0.9996,0.9996,1,0.9991,21.91M,0.00%
9-Jun-20,0.9994,0.9996,1,0.999,26.98M,-0.02%
